PROJECT NAME,APPLICANT NAME,ADDRESS NUMBER,ADDRESS NUMBER (HIGH),STREET DIRECTION,STREET NAME,STREET TYPE,WARD,COMMUNITY AREA,TIF DISTRICT,APPROVAL DATE,COMPLETION DATE,PROPERTY TYPE,PROJECT DESCRIPTION,INCENTIVE AMOUNT,TOTAL PROJECT COST,JOBS CREATED: ASPIRATIONAL,JOBS RETAINED: ASPIRATIONAL,LOCATION
A-Wire Corporation dba AWC Industries,Fred Weinstein,4817,4829,W,Grand,Ave,37,Austin,Galewood/Armitage,10/6/2015,7/26/2016,Industrial,"demolish existing roof; repair/replace wood decking and rafters as needed; masonry repairs to parapet walls as needed; install two (2) layers of new foam insulation board to the roof deck; install a new modified bitumen roofing membrane; install flashings, pitch pans, and a new reflective aluminum coating; remove existing skylights; install new decking and rafters at former skylight openings; rooftop ventilation unit materials expenses, repair/replace deteriorated elements of roofing trusses at east and west bay areas; engineering and building permit expenses.  Address range is 4817-29 W. Grand Ave.",94653,189306,0,25,POINT (-87.74656600000002 41.914165000000004)
Hispanic Regional Clinics,Ramon Castro,5544,,W,Belmont,Ave,30,Portage Park,Belmont/Central,7/30/2011,11/15/2012,Commercial,"façade, interior renovations,",62500,146191.88,2,,POINT (-87.765722 41.938588)
Jero Medical Equipment & Supplies,Obie Wordlaw,4108,,W,Division,St,37,Humboldt Park,Chicago Central Park,3/3/2009,8/17/2010,Industrial,"Complete Renovation, Complete Renovation",62796.41,258764.82,,,POINT (-87.72948 41.902645)
Mark Larocca,Mark Larocca,1035,,W,Lake,St,27,Near West Side,Kinzie Industrial Corridor,,3/8/2006,Landlord,complete renovations,50000,150000,,,POINT (-87.65363900000001 41.885564)
Pratt Beach Apartments LLC,Betty Griswold,6760,,N,Sheridan,Rd,49,Rogers Park,Devon/Sheridan,11/8/2011,9/12/2013,Commercial,", , new doors, Doors, HVAC, plumbing, security, tuck-pointing.",76512.23,102016.3,3,10,POINT (-87.660844 42.004852)
Benjamin Turcuato United Rehab Center PC,Benjamin Turcuato United Rehab Center PC,4257,,N,Milwaukee,Ave,45,Portage Park,Portage Park,,4/17/2008,Commercial,"plumbing, electrical, wall, ceilings, bathrooms, buildoutcabinets, countertop",19800,66500,,,POINT (-87.752375 41.95823)
Production Craft Inc,Alan Brouilette,1437,,W,Grand,Ave,27,West Town,Kinzie Industrial Corridor,,4/13/2005,Commercial,Tuckpointing / Plumbing / Sidewalk / Fencing// Possible Purchase of New Building,21961.58,43923.16,,,POINT (-87.66371 41.891041)
Lawrence-Kedzie Self Storage,Shu Boung Chan,3215,,W,Lawrence,Ave,33,Albany Park,Lawrence/Kedzie,,12/2/2005,Commercial,elevator,44685.5,89371,,,POINT (-87.709223 41.968471)
Cross Town Fitness,Charles Graff,1029,,W,Madison,St,25,Near West Side,Near West,2/5/2013,6/18/2013,Commercial,"HVAC system, plumbing system, electrical work, cabinetry and countertops, carpentry, tile work, drywall, painting, glass work, masonry, fire sprinklers, and handicap ramp",50000,105642.23,14,14,POINT (-87.652866 41.881636)
Band of Bohemia LLC,Craig Sindelar,4710,,N,Ravenswood,Ave,47,Lincoln Square,Ravenswood Industrial Corridor,7/28/2015,2/25/2016,Commercial,"the complete gut rehab of 4710 N. Ravenswood for restaurant-brewpub functionality including HVAC improvements (furnish and install three (3) new rooftop units; new duct work; new exhaust fans; vent and flue installation; installation of HVAC controls; install dust collector; associated roofing work); furnish and install new bi-fold door system at east elevation; furnish and install new sprinkler heads in existing sprinkler system; furnish and install new epoxy and stained concrete flooring throughout; furnish and install approx. 1,800 sf of FRP panels; furnish and install new interior doors, frames, and hardware; balance of electrical improvements (new 800 amp service and panels; electrical needed for HVAC improvements; installation of lighting (fixture expenses not included); and install exterior light",50000,931957.01,32,0,POINT (-87.674659 41.967622)
Khalil and Farida Mashni,Khalil and Farida Mashni,1100,1112,W,Granville,Ave,48,Edgewater,Hollywood/Sheridan,5/8/2011,4/24/2012,Commercial,"Facade, canopies, lighitng, cement repairs, hvac, roofing, commercial tile, HVAC; address range is 1100-1112 W Granville Ave.",120507.75,206962,,,POINT (-87.658468 41.994583)
Andersonville Physical Therapy,Patricia Staszak,5414,,N,Broadway,St,48,Edgewater,Bryn Mawr Broadway,4/25/2016,10/3/2016,Commercial,"HVAC system improvements (rework ductwork to add separate supply and returns); carpentry and drywall for the reconfigured office and new treatment room, repair drop ceiling as needed, install new door and lockset; remove a dividing wall in front office, repair drywall as needed; construct new walls for a closet, install new door and lockset, install foam spray insulation as needed to stop drafts; partially close four windows with drywall; paint all walls, trim, and doors; electrical work including remove existing ceiling lights and install two new wall sconces in four treatment rooms, new light switches and fixtures in new office, treatment room and closet; remove carpeting and padding, smooth out concrete floors, install ¼” cork underlayment and install floating vinyl floors with wood base boards; install two wood and glass sliding doors to close off room; install glass in existing opening between rear and front rooms; grind joints and tuck-point all exposed masonry walls at side and rear of building; and roof repair to seal a leak.",78192.24,107334.32,1,6,POINT (-87.660027 41.980439)
Horse Thief Hollow,Neil William Byers,10426,,S,Western,Ave,19,Beverly,Western/Rock Island,10/2/2012,4/1/2013,Commercial,"storefront renovations including framing, masonry, windows, parking lot paving, striping, and installation of cedar fencing for trash enclosure, installation of walk-in cooler/freezer, bathroom finishing and plumbing fixtures, and epoxy flooring",79175.25,105596,48,0,POINT (-87.681608 41.703998000000006)
Steinhardt Builders Inc,Alan Steinhard,6252,,N,Lincoln,Ave,50,North Park,Lincoln Avenue,,1/12/2012,Commercial,"Add Second floor to existing building, ,",150000,211850.25,8,4,POINT (-87.715721 41.995403)
"Royal Industries, Inc.",Irving Naiditch,4100,,W,Victoria,St,39,North Park,Peterson/Pulaski,4/25/2013,4/4/2014,Industrial,retrofitting of office and warehouse lighting to new energy efficient standards,17945,35890,0,0,POINT (-87.730179 41.984931)
"Boulder Real Estate Group, LLC",Julian Mickelson,4748,,S,Ashland,Ave,20,New City,Retail Thrive Zone - Back of the Yards,3/6/2018,1/9/2019,Commercial,"complete rehabilitation of a two-story vacant commercial property including rough carpentry and framing work for ground floor including repairs to existing and installation of new structural I joists, construction of a new interior concrete wall, construction of a new opening and stairwell to 2nd floor, installation of a moisture barrier underlayment, new cement board, plywood, and hardwood flooring, framing for daycare center including insulation, fire rated drywall, and new drop ceiling, and painting and finishing work; HVAC work including installation of three (3) new furnaces and condensing units with all new ductwork and associated wiring and connections; electrical work including installation of new 800 AMP service with two (2) panels, and all new piping, wiring, outlets, switches, and lighting; plumbing work including installation of new sewer lines for waste and vent, new water lines, new gas lines, and all fixtures for restrooms including toilets, sinks, drains, grease traps, and drinking fountains; demolish existing masonry façade and install new façade including steel beams, cinder block, and new face brick and install stucco on south and west elevations; and installation of new glass windows with bronze metal framing on 1st and 2nd floors",141346.91,565525.56,11,0,POINT (-87.664999 41.807012)
Canine Social Club,Randall L Fetcho,5508,,N,Western,Ave,40,Lincoln Square,Devon/Western,3/1/2012,10/15/2012,Commercial,"sign, landscape, lighting, flooring,",11962.5,15949.99,1,5,POINT (-87.689439 41.981558)
Joe Minogue,Joe Minogue,4956,,N,Milwaukee,Ave,45,Jefferson Park,Jefferson Park,,1/9/2007,Landlord,Renovation work,50000,219109.5,,,POINT (-87.763468 41.970897)
Overseas Spices Inc Mehrab #1 Corp,Ajaz Khan,2435,,W,Devon,Ave,50,West Ridge,Devon/Western,5/26/2009,6/20/2010,Commercial,"fiberglass panels, tile, base boards, wall coverings, paint door frames, stain doors and railings,, fiberglass panels, tile, base boards, wall coverings, paint door frames, signage",44925,89850,,,POINT (-87.691231 41.997702)
"Western Avenue Storage, LLC",Nik Turik,2946,,N,Western,Ave,33,Avondale,Addison Corridor (South),3/12/2014,5/13/2014,Commercial,materials and labor for the installation of174 new storage units including framing for a corridor partition system,50000,71204.58,2,2,POINT (-87.688015 41.934957)
Michael J Krepps DDS & Associates,Michael Krepps,3806,,W,63rd,St,23,West Lawn,63rd/Pulaski,5/18/2011,11/21/2011,Commercial,,5640,7520,,,POINT (-87.718018 41.778713)
Damen Lake Property LLC (Standard Equipment Co),Thomas Donlan,2033,,W,Walnut,St,27,Near West Side,Kinzie Industrial Corridor,,2/1/2001,Industrial,"Truck dock, Skylights, Roof",41506.5,83013,,,POINT (-87.67771 41.885867)
Albany Steel & Brass,David Lebovitz,1913,,W,Grand,Ave,26,West Town,Kinzie Industrial Corridor,,5/12/2008,Industrial,Tar sealcoating and striping of parking lot,990,2300,,,POINT (-87.67509 41.890879)
Ultimate Comprehensive Dentistry,Rosangela Lavagnolli,4307,,N,Central,Ave,38,Portage Park,West Irving Park,3/27/2018,3/6/2019,Commercial,"roofing repairs including new flashings, application of sealant around parapet walls and aluminum copings as needed, and resealing roof seams; installation of two (2) signage grid racks with the necessary electrical connections along the north and south elevations (business specific signage is not included); sewer line repairs including removal of the existing flooring and concrete slab in waiting room and restroom, make repairs to the sewer pipes as needed, pour new concrete, and new tile flooring; plumbing work including removal of existing steel pipes and replacement with new copper pipes throughout; installation of a new ADA toilet and a sink with associated valves and supply lines for the patient’s restroom; installation of new faucets, valves and supply lines for the sterilization, operation, and analytical rooms; removal of the existing sink located in the lobby, and seal plumbing lines; improvements to the staff’s restroom including installation of a new circulation line for hot water, new valves and supply lines, and reposition of sink for ADA compliance; HVAC improvements including installation of a new high efficiency furnace and air conditioning unit with associated ductwork, a gas boiler, and a 50 gallon water heater with new air intake and exhaust lines; electrical upgrades including rewiring the existing electrical system and adding new lines with the proper breakers, adding a new sub panel, and installation of new LED exit signs, emergency lights, and LED light fixtures throughout; installation of a new fire-rated door for the utility room; drywall; and permit",100000,137312,1,2,POINT (-87.767162 41.958879)
Mr Jose Mestey,Mr Jose Mestey,2758,,W,North,Ave,1,West Town,Humboldt Park,,2/21/2006,Landlord,"Storefront, sign, electrical, drywall, plumbing, gasline, floor",50000,70000,,,POINT (-87.696211 41.910292)
Jaafer Sweets,Gilda Yawni,4825,,N,Kedzie,Ave,33,Albany Park,Lawrence/Kedzie,,12/4/2006,Commercial,Complete remodel,50000,100000,,,POINT (-87.708517 41.969368)
"SKCPA, LLC dba Sohn+Ko CPAs",Kyung Nam Ko,6116,,N,Lincoln,Ave,50,North Park,Lincoln Avenue,6/3/2015,10/26/2015,Commercial,demolition and replacement of existing flat roofing system; furnish and install new 7.5-ton rooftop HVAC unit and associated duct work; furnish and install two (2) new doors and four (4) new windows; replace insulation at front entrance walls and storefront area; replace gutters and down spouts; tuck point north and west walls; and painting of the exterior storefront and exterior side wall areas only,61721.25,82295,1,5,POINT (-87.712156 41.993215)
Coco Restaurant,Jose Allende,3755,,N,Sacramento,Blvd,33,Irving Park,Humboldt Park,,4/25/2008,Commercial,"roof, tuckpointing, demolition, new drywall, floor",37028,94500,,,
"Windy City Greens, LLC",Patrick Mazza,1200,,W,Cermak,Rd,25,Lower West Side,Pilsen Industrial Corridor,5/18/2015,12/1/2015,Industrial,"core holes and install eleven (11) floor drains and vent pipes; install approximately 150 feet of new cast iron pipes for drains; connect new drain line into existing sewer lines and run vent pipe through the roof; furnish and install approximately 850 square feet of USDA-compliant solid epoxy flooring; furnish and install approximately 415 square feet of quartz flooring in scrub room area; grinding of approximately 16,300 square feet of main warehouse floor, repairs to damaged concrete, and installation of USDA-compliant concrete sealer, furnish and install four (4) 10-ton energy-efficient rooftop HVAC units and associated duct work, roofing, and thermostat and economizer installation; furnish and install 4-ton unit and associated duct work and control expenses; furnish and install four (4) fresh air intake dampers, four (4) side mount industrial exhaust ventilators, and controls; architectural services; engineering services; and permit expediting, electrical work to route power to HVAC rooftop units and exhaust fans; route power and install junction boxes for lighting including associated circuits, breakers, and piping; and general contractor services. Located on the 2nd floor.",126141.46,252282.92,0,0,POINT (-87.65692 41.852544)
May Medical Center,P Conrad May,3857,,W,Washington,St,28,West Garfield Park,Madison/Austin,,3/15/2007,Commercial,Porch,8473.3,15406,,,
"Meemun Enterprises, Inc. dba Ecolife Cleaners",Min J. Kong,3139,,N,Clybourn,Ave,32,North Center,Addison Corridor (South),1/4/2018,12/10/2018,Commercial,demolish/excavate existing concrete floor in rear plant area and replace with new concrete flooring; replace frames and glass of existing skylights in plant area; demolish two vent stacks at roof; tuck pointing; remove and replace the store entry area at side elevation with a sliding door entry system,81675,117467,0,2,POINT (-87.686603 41.938435)
GB Group Inc,German Bedoya,3932,,N,Lincoln,Ave,47,North Center,Western Avenue (South),3/28/2017,6/21/2018,Commercial,"repair storefront windows with new weather gaskets and sealers; replace skylight; storage room repair including carpentry, new drywall, repair sub-floor and install ceramic tile; and repair ceiling with new metal framing, new drywall, painting, and lighting.",13762.5,18350,1,3,POINT (-87.677986 41.953099)
